# file: coastlines.data
#
# These data are derived from 'earthmap.c' (part of xephem), which in turn
# is derived from 'mapdata.c' (part of xearth).  'earthmap.c' and 'mapdata.c'
# include the following notice:
#
#  Copyright (C) 1989, 1990, 1993, 1994 Kirk Lauritz Johnson
#  Permission to use, copy, modify, distribute, and sell this
#  software and its documentation for any purpose is hereby granted
#  without fee, provided that the above copyright notice appear in
#  all copies and that both that copyright notice and this
#  permission notice appear in supporting documentation. The author
#  makes no representations about the suitability of this software
#  for any purpose. It is provided "as is" without express or
#  implied warranty.
#
#  THE AUTHOR DISCLAIMS ALL WARRANTIES WITH REGARD TO THIS SOFTWARE,
#  INCLUDING ALL IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS,
#  IN NO EVENT SHALL THE AUTHOR BE LIABLE FOR ANY SPECIAL, INDIRECT
#  OR CONSEQUENTIAL DAMAGES OR ANY DAMAGES WHATSOEVER RESULTING FROM
#  LOSS OF USE, DATA OR PROFITS, WHETHER IN AN ACTION OF CONTRACT,
#  NEGLIGENCE OR OTHER TORTIOUS ACTION, ARISING OUT OF OR IN
#  CONNECTION WITH THE USE OR PERFORMANCE OF THIS SOFTWARE.

# The three columns are:
#   Longitude (degrees * 100)
#   Latitude (degrees * 100)
#   N (1: first point on a new land mass, 0 otherwise)
#
# Note that a few points (e.g., in far eastern Siberia) are assigned
# longitudes < -180 or > 180;  this allows these land masses to be drawn
# as polygons even if they cross the 180th meridian.

# The last point given for each land mass is the same as the first (except
# for Antarctica, which is circumpolar and thus cannot be rendered as a
# closed polygon on a Mercator projection).

# Long.  Lat. N
 -9603   1909 0
 -9662   2009 0
 -9731   2103 0
 -9774   2211 0
 -9775   2326 0
 -9766   2442 0
 -9725   2551 0
 -9743   2656 0
 -9737   2778 0
 -9649   2864 0
 -9541   2886 0
 -9485   2972 0
 -9378   2981 0
 -9278   2964 0
 -9161   2966 0
 -9053   2926 0
 -8930   2906 0
 -8973   3006 0
 -8867   3037 0
 -8746   3035 0
 -8631   3044 0
 -8534   2977 0
 -8412   3009 0
 -8315   2933 0
 -8269   2838 0
 -8255   2732 0
 -8190   2646 0
 -8120   2553 0
 -8013   2586 0
 -8010   2701 0
 -8059   2809 0
 -8099   2922 0
 -8138   3032 0
 -8130   3141 0
 -8079   3239 0
 -7967   3286 0
 -7882   3373 0
 -7775   3428 0
 -7649   3488 0
 -7576   3582 0
 -7598   3685 0
 -7705   3727 0
 -7721   3839 0
 -7648   3914 0
 -7584   3818 0
 -7542   3925 0
 -7438   3947 0
 -7409   4045 0
 -7314   4117 0
 -7202   4132 0
 -7069   4164 0
 -7079   4280 0
 -6994   4381 0
 -6887   4446 0
 -6772   4456 0
 -6661   4510 0
 -6552   4535 0
 -6465   4594 0
 -6357   4537 0
 -6469   4518 0
 -6568   4467 0
 -6567   4356 0
 -6472   4397 0
 -6379   4451 0
 -6268   4479 0
 -6162   4513 0
 -6247   4566 0
 -6365   4586 0
 -6458   4633 0
 -6491   4741 0
 -6608   4795 0
 -6489   4817 0
 -6489   4919 0
 -6620   4920 0
 -6743   4888 0
 -6857   4845 0
 -6953   4788 0
 -7030   4719 0
 -6981   4811 0
 -7079   4839 0
 -6973   4819 0
 -6888   4884 0
 -6779   4930 0
 -6661   5012 0
 -6541   5030 0
 -6405   5029 0
 -6273   5029 0
 -6146   5016 0
 -6014   5025 0
 -5908   5080 0
 -5811   5132 0
 -5681   5152 0
 -5576   5212 0
 -5586   5331 0
 -5725   5358 0
 -5820   5421 0
 -5933   5364 0
 -6062   5369 0
 -5931   5389 0
 -5810   5434 0
 -5915   5510 0
 -6032   5516 0
 -6135   5604 0
 -6230   5678 0
 -6218   5789 0
 -6327   5840 0
 -6383   5938 0
 -6456   6008 0
 -6551   5933 0
 -6641   5875 0
 -6764   5807 0
 -6905   5789 0
 -6835   5870 0
 -6989   5871 0
 -6964   5984 0
 -7073   6002 0
 -6968   6012 0
 -7032   6104 0
 -7148   6119 0
 -7236   6184 0
 -7351   6240 0
 -7463   6220 0
 -7576   6226 0
 -7696   6252 0
 -7805   6233 0
 -7774   6122 0
 -7753   6019 0
 -7799   5923 0
 -7744   5817 0
 -7667   5743 0
 -7655   5628 0
 -7732   5553 0
 -7851   5500 0
 -7956   5471 0
 -7902   5373 0
 -7869   5260 0
 -7886   5140 0
 -7997   5123 0
 -8085   5189 0
 -8184   5264 0
 -8216   5369 0
 -8223   5481 0
 -8346   5522 0
 -8474   5526 0
 -8592   5567 0
 -8741   5600 0
 -8842   5660 0
 -8981   5698 0
 -9128   5721 0
 -9247   5699 0
 -9282   5808 0
 -9369   5876 0
 -9480   5904 0
 -9470   6018 0
 -9413   6102 0
 -9343   6180 0
 -9262   6246 0
 -9144   6282 0
 -9220   6363 0
 -9331   6388 0
 -9215   6379 0
 -9103   6360 0
 -9005   6390 0
 -8887   6401 0
 -8762   6458 0
 -8879   6532 0
 -8973   6571 0
 -9113   6589 0
 -8961   6590 0
 -8851   6556 0
 -8727   6537 0
 -8602   6608 0
 -8461   6627 0
 -8358   6642 0
 -8244   6665 0
 -8130   6736 0
 -8213   6814 0
 -8145   6910 0
 -8287   6950 0
 -8429   6982 0
 -8547   6961 0
 -8576   6835 0
 -8654   6746 0
 -8762   6742 0
 -8783   6843 0
 -8904   6920 0
 -9012   6839 0
 -9100   6923 0
 -9250   6967 0
 -9290   7089 0
 -9400   7172 0
 -9562   7161 0
 -9652   7094 0
 -9599   6984 0
 -9464   6959 0
 -9356   6931 0
 -9452   6886 0
 -9513   6806 0
 -9529   6703 0
 -9628   6752 0
 -9755   6845 0
 -9844   6799 0
 -9992   6782 0
-10145   6772 0
-10291   6788 0
-10438   6806 0
-10540   6846 0
-10692   6878 0
-10836   6855 0
-10709   6833 0
-10766   6747 0
-10893   6748 0
-10996   6790 0
-11128   6777 0
-11278   6767 0
-11430   6775 0
-11503   6885 0
-11651   6887 0
-11804   6903 0
-11946   6931 0
-12082   6961 0
-12234   6981 0
-12337   6945 0
-12444   7002 0
-12535   6946 0
-12656   6970 0
-12781   7050 0
-12895   6983 0
-13038   6963 0
-13189   6934 0
-13313   6880 0
-13194   6948 0
-13060   6972 0
-13207   6976 0
-13315   6946 0
-13443   6909 0
-13601   6885 0
-13753   6902 0
-13883   6937 0
-14024   6961 0
-14178   6977 0
-14321   7008 0
-14482   6999 0
-14638   7018 0
-14801   7030 0
-14958   7050 0
-15126   7043 0
-15253   7081 0
-15419   7083 0
-15573   7087 0
-15707   7116 0
-15840   7082 0
-15976   7060 0
-16078   7038 0
-16223   7015 0
-16319   6937 0
-16424   6895 0
-16585   6887 0
-16507   6794 0
-16400   6752 0
-16253   6705 0
-16112   6661 0
-16227   6680 0
-16322   6608 0
-16452   6656 0
-16568   6624 0
-16675   6603 0
-16788   6570 0
-16638   6531 0
-16535   6450 0
-16415   6457 0
-16286   6446 0
-16129   6486 0
-16084   6396 0
-16207   6348 0
-16358   6308 0
-16475   6276 0
-16574   6190 0
-16497   6102 0
-16380   6092 0
-16516   6062 0
-16418   5997 0
-16269   5997 0
-16184   5913 0
-16049   5898 0
-15899   5851 0
-15781   5870 0
-15758   5760 0
-15880   5685 0
-16003   5644 0
-16114   5597 0
-16246   5551 0
-16330   5495 0
-16216   5509 0
-16081   5549 0
-15967   5569 0
-15862   5606 0
-15747   5673 0
-15641   5727 0
-15528   5782 0
-15417   5832 0
-15393   5941 0
-15273   5995 0
-15186   6074 0
-15053   6128 0
-14939   6095 0
-15039   6098 0
-15134   6035 0
-15186   5935 0
-15045   5954 0
-14926   5999 0
-14827   6018 0
-14793   6114 0
-14652   6110 0
-14548   6041 0
-14446   6021 0
-14342   6005 0
-14226   6006 0
-14121   5983 0
-14012   5975 0
-13904   5929 0
-13806   5895 0
-13678   5832 0
-13574   5846 0
-13472   5843 0
-13354   5790 0
-13287   5701 0
-13180   5625 0
-13087   5557 0
-12993   5514 0
-12983   5410 0
-12865   5382 0
-12827   5288 0
-12813   5274 0

 17876  -8416 1
 17637  -8401 0
 17404  -8386 0
 17220  -8370 0
 17100  -8349 0
 16856  -8339 0
 16682  -8280 0
 16561  -8255 0
 16436  -8234 0
 16274  -8184 0
 16126  -8156 0
 16059  -8077 0
 15905  -8043 0
 15994  -7974 0
 16122  -7898 0
 16255  -7887 0
 16372  -7869 0
 16495  -7857 0
 16675  -7857 0
 16542  -7817 0
 16427  -7771 0
 16284  -7701 0
 16281  -7600 0
 16336  -7501 0
 16479  -7466 0
 16579  -7408 0
 16745  -7348 0
 16885  -7347 0
 17009  -7267 0
 17084  -7171 0
 16941  -7141 0
 16801  -7102 0
 16675  -7069 0
 16517  -7056 0
 16351  -7056 0
 16203  -7029 0
 16055  -7007 0
 15957  -6964 0
 15830  -6930 0
 15674  -6917 0
 15521  -6911 0
 15394  -6842 0
 15280  -6883 0
 15120  -6887 0
 15027  -6844 0
 14873  -6830 0
 14722  -6804 0
 14561  -6758 0
 14415  -6704 0
 14272  -6697 0
 14137  -6678 0
 13998  -6665 0
 13857  -6651 0
 13721  -6632 0
 13583  -6619 0
 13509  -6523 0
 13413  -6612 0
 13268  -6614 0
 13129  -6622 0
 12994  -6635 0
 12896  -6709 0
 12754  -6695 0
 12623  -6631 0
 12513  -6669 0
 12402  -6655 0
 12285  -6665 0
 12140  -6669 0
 12001  -6684 0
 11854  -6692 0
 11713  -6685 0
 11556  -6637 0
 11447  -6624 0
 11356  -6578 0
 11231  -6587 0
 11097  -6605 0
 10978  -6667 0
 10837  -6662 0
 10706  -6640 0
 10569  -6625 0
 10435  -6604 0
 10299  -6592 0
 10162  -6600 0
 10050  -6633 0
  9942  -6677 0
  9841  -6653 0
  9699  -6658 0
  9549  -6665 0
  9408  -6663 0
  9262  -6661 0
  9118  -6655 0
  8978  -6669 0
  8876  -6647 0
  8770  -6680 0
  8639  -6703 0
  8498  -6714 0
  8350  -6715 0
  8216  -6727 0
  8087  -6785 0
  7942  -6804 0
  7828  -6843 0
  7741  -6916 0
  7606  -6945 0
  7566  -6956 0
  7505  -6964 0
  7437  -6974 0
  7360  -6985 0
  7251  -7055 0
  7149  -7102 0
  7087  -7187 0
  6957  -7228 0
  6785  -7225 0
  6837  -7122 0
  6919  -7041 0
  6804  -7046 0
  6919  -6974 0
  6976  -6866 0
  6904  -6783 0
  6752  -6779 0
  6601  -6771 0
  6451  -6760 0
  6305  -6757 0
  6158  -6751 0
  6020  -6737 0
  5893  -6726 0
  5762  -6701 0
  5649  -6638 0
  5550  -6598 0
  5412  -6587 0
  5272  -6592 0
  5145  -6615 0
  5033  -6649 0
  4912  -6696 0
  4800  -6765 0
  4656  -6728 0
  4494  -6776 0
  4360  -6803 0
  4231  -6832 0
  4095  -6860 0
  3980  -6898 0
  3882  -6984 0
  3749  -6966 0
  3628  -6946 0
  3494  -6886 0
  3398  -6850 0
  3290  -6924 0
  3162  -6961 0
  3009  -6981 0
  2853  -7000 0
  2691  -7015 0
  2529  -7033 0
  2364  -7050 0
  2196  -7041 0
  2030  -7028 0
  1869  -7008 0
  1705  -7010 0
  1543  -7027 0
  1381  -7020 0
  1239  -7048 0
  1094  -7067 0
   975  -7026 0
   854  -7042 0
   719  -7037 0
   575  -7060 0
   405  -7072 0
   240  -7091 0
    82  -7118 0
   -41  -7160 0
  -170  -7141 0
  -296  -7126 0
  -474  -7131 0
  -611  -7123 0
  -749  -7129 0
  -841  -7174 0
  -968  -7095 0
 -1107  -7160 0
 -1218  -7156 0
 -1307  -7273 0
 -1423  -7316 0
 -1607  -7336 0
 -1527  -7399 0
 -1427  -7388 0
 -1580  -7445 0
 -1721  -7487 0
 -1812  -7539 0
 -1933  -7578 0
 -2137  -7594 0
 -2247  -7597 0
 -2361  -7603 0
 -2478  -7611 0
 -2588  -7627 0
 -2789  -7653 0
 -2890  -7669 0
 -3077  -7709 0
 -3284  -7744 0
 -3449  -7789 0
 -3589  -7840 0
 -3484  -7914 0
 -3379  -7935 0
 -3236  -7942 0
 -3096  -7928 0
 -2961  -7914 0
 -2779  -7904 0
 -2902  -7940 0
 -2814  -8016 0
 -2920  -8037 0
 -3087  -8048 0
 -3234  -8064 0
 -3402  -8074 0
 -3561  -8088 0
 -3730  -8099 0
 -3884  -8116 0
 -4050  -8129 0
 -4195  -8148 0
 -4443  -8186 0
 -4642  -8180 0
 -4843  -8183 0
 -5036  -8192 0
 -5223  -8205 0
 -5407  -8219 0
 -5555  -8240 0
 -5659  -8265 0
 -5806  -8294 0
 -5928  -8250 0
 -6086  -8230 0
 -6247  -8210 0
 -6397  -8190 0
 -6542  -8170 0
 -6683  -8150 0
 -6829  -8130 0
 -6986  -8114 0
 -7159  -8103 0
 -7314  -8087 0
 -7454  -8069 0
 -7629  -8018 0
 -7889  -8003 0
 -7775  -8001 0
 -7650  -7984 0
 -7823  -7926 0
 -7983  -7924 0
 -8103  -7942 0
 -8290  -7898 0
 -8387  -7841 0
 -8212  -7857 0
 -8101  -7876 0
 -7956  -7881 0
 -7815  -7872 0
 -7965  -7813 0
 -8099  -7796 0
 -7992  -7775 0
 -7864  -7786 0
 -7729  -7792 0
 -7598  -7801 0
 -7468  -7810 0
 -7353  -7793 0
 -7532  -7747 0
 -7696  -7704 0
 -7812  -7653 0
 -7669  -7606 0
 -7542  -7652 0
 -7421  -7659 0
 -7297  -7663 0
 -7172  -7666 0
 -7042  -7666 0
 -6886  -7626 0
 -6777  -7615 0
 -6664  -7604 0
 -6564  -7588 0
 -6378  -7553 0
 -6314  -7475 0
 -6193  -7478 0
 -6120  -7390 0
 -6020  -7321 0
 -6139  -7253 0
 -6226  -7201 0
 -6114  -7179 0
 -6191  -7081 0
 -6247  -6986 0
 -6342  -6913 0
 -6421  -6848 0
 -6535  -6843 0
 -6499  -6729 0
 -6404  -6682 0
 -6271  -6656 0
 -6124  -6622 0
 -6236  -6588 0
 -6111  -6497 0
 -5962  -6442 0
 -5866  -6401 0
 -5774  -6361 0
 -5875  -6353 0
 -5975  -6384 0
 -6088  -6409 0
 -6232  -6470 0
 -6389  -6508 0
 -6481  -6597 0
 -6582  -6629 0
 -6687  -6697 0
 -6690  -6823 0
 -6715  -6927 0
 -6855  -6941 0
 -6779  -7051 0
 -6728  -7164 0
 -6746  -7273 0
 -6895  -7310 0
 -7083  -7328 0
 -7275  -7346 0
 -7463  -7368 0
 -7662  -7382 0
 -7842  -7364 0
 -7948  -7323 0
 -8060  -7320 0
 -8169  -7387 0
 -8351  -7371 0
 -8546  -7355 0
 -8654  -7327 0
 -8831  -7316 0
 -8938  -7302 0
 -9105  -7327 0
 -9208  -7318 0
 -9399  -7326 0
 -9598  -7327 0
 -9791  -7311 0
 -9964  -7302 0
-10171  -7303 0
-10300  -7274 0
-10140  -7334 0
-10038  -7337 0
-10189  -7361 0
-10050  -7448 0
 -9962  -7512 0
-10163  -7524 0
-10365  -7503 0
-10478  -7506 0
-10586  -7515 0
-10794  -7526 0
-10900  -7514 0
-11038  -7519 0
-11105  -7420 0
-11216  -7483 0
-11325  -7448 0
-11461  -7402 0
-11560  -7446 0
-11663  -7453 0
-11765  -7440 0
-11928  -7461 0
-12036  -7467 0
-12146  -7471 0
-12254  -7468 0
-12361  -7472 0
-12471  -7467 0
-12581  -7465 0
-12690  -7464 0
-12796  -7469 0
-12898  -7480 0
-13007  -7482 0
-13117  -7477 0
-13225  -7473 0
-13336  -7480 0
-13530  -7460 0
-13635  -7473 0
-13804  -7506 0
-13920  -7511 0
-14081  -7549 0
-14197  -7549 0
-14406  -7570 0
-14601  -7595 0
-14801  -7613 0
-14912  -7631 0
-14728  -7643 0
-14629  -7659 0
-14818  -7747 0
-14918  -7764 0
-15114  -7744 0
-15226  -7740 0
-15405  -7717 0
-15527  -7709 0
-15736  -7719 0
-15671  -7821 0
-15534  -7815 0
-15405  -7817 0
-15551  -7859 0
-15443  -7901 0
-15308  -7913 0
-15177  -7927 0
-15053  -7945 0
-14912  -7959 0
-14776  -7974 0
-14657  -7994 0
-14562  -8049 0
-14754  -8097 0
-14989  -8134 0
-15148  -8118 0
-15318  -8108 0
-15499  -8101 0
-15663  -8115 0
-15433  -8155 0
-15281  -8235 0
-15294  -8347 0
-15169  -8430 0
-14972  -8452 0
-14706  -8466 0
-14411  -8477 0
-14108  -8486 0
-13899  -8504 0
-14085  -8522 0
-14425  -8513 0
-14780  -8510 0
-15016  -8536 0
-15344  -8533 0
-15717  -8539 0
-16062  -8530 0
-16334  -8513 0
-16600  -8496 0
-16812  -8477 0
-17076  -8459 0
-17352  -8447 0
-17659  -8445 0
-17904  -8436 0

 14904  -2093 1
 14882  -2080 0
 14879  -2050 0
 14874  -2025 0
 14771  -1975 0
 14669  -1917 0
 14606  -1828 0
 14595  -1718 0
 14545  -1619 0
 14528  -1506 0
 14457  -1428 0
 14362  -1392 0
 14343  -1282 0
 14295  -1186 0
 14255  -1081 0
 14197  -1191 0
 14161  -1305 0
 14159  -1416 0
 14155  -1530 0
 14129  -1644 0
 14078  -1746 0
 13967  -1752 0
 13877  -1683 0
 13775  -1629 0
 13669  -1584 0
 13575  -1511 0
 13594  -1398 0
 13656  -1287 0
 13572  -1216 0
 13454  -1204 0
 13345  -1177 0
 13243  -1123 0
 13195  -1226 0
 13091  -1247 0
 13023  -1328 0
 12956  -1406 0
 12966  -1509 0
 12849  -1479 0
 12750  -1405 0
 12632  -1412 0
 12521  -1468 0
 12441  -1559 0
 12358  -1645 0
 12250  -1693 0
 12226  -1795 0
 12164  -1878 0
 12087  -1966 0
 11970  -2000 0
 11862  -2031 0
 11750  -2069 0
 11635  -2083 0
 11541  -2152 0
 11447  -2217 0
 11379  -2306 0
 11341  -2413 0
 11380  -2520 0
 11411  -2631 0
 11411  -2757 0
 11457  -2862 0
 11495  -2970 0
 11521  -3082 0
 11573  -3188 0
 11567  -3302 0
 11497  -3396 0
 11593  -3473 0
 11722  -3502 0
 11826  -3493 0
 11943  -3439 0
 12057  -3391 0
 12160  -3384 0
 12293  -3387 0
 12401  -3337 0
 12505  -3272 0
 12627  -3225 0
 12730  -3226 0
 12827  -3199 0
 12955  -3162 0
 13057  -3159 0
 13184  -3176 0
 13303  -3211 0
 13421  -3253 0
 13483  -3342 0
 13531  -3453 0
 13632  -3415 0
 13734  -3342 0
 13747  -3450 0
 13846  -3469 0
 13925  -3537 0
 13976  -3641 0
 14004  -3749 0
 14115  -3813 0
 14246  -3839 0
 14345  -3879 0
 14435  -3834 0
 14547  -3843 0
 14634  -3902 0
 14716  -3840 0
 14802  -3788 0
 14913  -3778 0
 14995  -3711 0
 15014  -3600 0
 15077  -3501 0
 15121  -3397 0
 15180  -3292 0
 15256  -3205 0
 15306  -3096 0
 15328  -2984 0
 15361  -2872 0
 15332  -2762 0
 15311  -2652 0
 15291  -2539 0
 15209  -2454 0
 15121  -2378 0
 15080  -2277 0
 14978  -2243 0
 14932  -2142 0
 14904  -2093 0

 -3567   6622 1
 -3560   6635 0
 -3498   6633 0
 -3453   6652 0
 -3348   6729 0
 -3220   6792 0
 -3056   6814 0
 -2914   6831 0
 -2771   6852 0
 -2622   6874 0
 -2521   6915 0
 -2402   6953 0
 -2289   6990 0
 -2443   7024 0
 -2601   7027 0
 -2749   7002 0
 -2851   7045 0
 -2761   7104 0
 -2602   7107 0
 -2706   7152 0
 -2818   7194 0
 -2677   7160 0
 -2517   7137 0
 -2420   7095 0
 -2264   7053 0
 -2197   7137 0
 -2290   7175 0
 -2433   7234 0
 -2547   7233 0
 -2645   7271 0
 -2526   7307 0
 -2627   7317 0
 -2499   7355 0
 -2366   7374 0
 -2265   7329 0
 -2105   7346 0
 -2222   7412 0
 -2049   7441 0
 -1918   7450 0
 -2075   7472 0
 -2183   7507 0
 -1978   7525 0
 -2055   7595 0
 -2209   7652 0
 -2109   7687 0
 -2008   7695 0
 -1871   7682 0
 -1981   7736 0
 -2088   7791 0
 -2012   7895 0
 -1883   7976 0
 -1771   7994 0
 -1982   8000 0
 -1767   8023 0
 -1651   8040 0
 -1884   8058 0
 -1995   8062 0
 -1740   8075 0
 -1559   8082 0
 -1349   8129 0
 -1250   8156 0
 -1347   8180 0
 -1535   8191 0
 -1727   8181 0
 -1833   8154 0
 -2030   8155 0
 -2166   8131 0
 -2354   8081 0
 -2260   8133 0
 -2335   8204 0
 -2570   8158 0
 -2689   8152 0
 -2538   8191 0
 -2713   8202 0
 -2932   8194 0
 -3105   8186 0
 -3232   8183 0
 -3039   8215 0
 -2787   8218 0
 -2574   8215 0
 -2381   8226 0
 -2213   8242 0
 -2369   8283 0
 -2517   8290 0
 -2832   8309 0
 -3060   8307 0
 -3257   8296 0
 -3427   8292 0
 -3219   8309 0
 -2991   8316 0
 -2741   8315 0
 -2619   8334 0
 -2860   8348 0
 -3099   8359 0
 -3375   8356 0
 -3616   8350 0
 -3763   8343 0
 -3928   8288 0
 -4173   8314 0
 -4348   8318 0
 -4520   8301 0
 -4340   8285 0
 -4115   8278 0
 -3990   8258 0
 -4185   8266 0
 -4436   8278 0
 -4537   8186 0
 -4663   8210 0
 -4815   8229 0
 -4976   8249 0
 -5091   8238 0
 -5256   8193 0
 -5358   8172 0
 -5527   8226 0
 -5695   8218 0
 -5886   8200 0
 -5699   8146 0
 -5838   8167 0
 -5964   8190 0
 -6121   8176 0
 -6325   8109 0
 -6539   8075 0
 -6653   8055 0
 -6478   8011 0
 -6552   7928 0
 -6663   7913 0
 -6798   7907 0
 -6914   7887 0
 -7048   7870 0
 -7172   7859 0
 -7267   7812 0
 -7164   7788 0
 -7062   7781 0
 -6964   7750 0
 -6847   7756 0
 -6716   7762 0
 -6845   7724 0
 -6684   7717 0
 -6813   7718 0
 -6943   7722 0
 -7072   7718 0
 -6894   7667 0
 -6721   7599 0
 -6576   7618 0
 -6416   7624 0
 -6290   7629 0
 -6180   7621 0
 -6070   7607 0
 -5886   7573 0
 -5781   7503 0
 -5645   7451 0
 -5580   7366 0
 -5470   7278 0
 -5558   7172 0
 -5449   7137 0
 -5364   7206 0
 -5252   7165 0
 -5140   7101 0
 -5241   7068 0
 -5413   7079 0
 -5299   7030 0
 -5155   7001 0
 -5037   6992 0
 -5100   6882 0
 -5259   6846 0
 -5135   6837 0
 -5277   6814 0
 -5157   6784 0
 -5037   6760 0
 -5166   6766 0
 -5295   6766 0
 -5135   6733 0
 -5276   6729 0
 -5359   6643 0
 -5215   6654 0
 -5109   6693 0
 -5208   6650 0
 -5317   6613 0
 -5209   6596 0
 -5088   6573 0
 -5226   6542 0
 -5184   6434 0
 -5088   6479 0
 -4988   6448 0
 -5115   6422 0
 -5083   6320 0
 -5016   6242 0
 -4910   6205 0
 -4829   6121 0
 -4682   6090 0
 -4578   6113 0
 -4483   6054 0
 -4349   6013 0
 -4284   6103 0
 -4232   6196 0
 -4178   6296 0
 -4089   6361 0
 -4081   6477 0
 -3990   6552 0
 -3864   6563 0
 -3757   6636 0
 -3637   6599 0
 -3567   6622 0

 -6711   6831 1
 -6753   6831 0
 -6718   6841 0
 -6769   6849 0
 -6891   6879 0
 -6780   6921 0
 -6949   6954 0
 -6832   6968 0
 -6730   6998 0
 -6832   7014 0
 -6971   6974 0
 -6873   7036 0
 -7010   7067 0
 -7130   7023 0
 -7064   7099 0
 -7229   7077 0
 -7141   7143 0
 -7276   7149 0
 -7403   7133 0
 -7502   7169 0
 -7613   7197 0
 -7513   7241 0
 -7673   7269 0
 -7842   7253 0
 -7958   7234 0
 -8087   7232 0
 -8130   7357 0
 -8300   7368 0
 -8464   7333 0
 -8567   7271 0
 -8452   7219 0
 -8573   7204 0
 -8477   7162 0
 -8626   7105 0
 -8514   7129 0
 -8605   7178 0
 -8659   7288 0
 -8511   7363 0
 -8635   7385 0
 -8816   7359 0
 -8919   7310 0
 -8981   7225 0
 -8914   7128 0
 -8745   7103 0
 -8923   7102 0
 -8807   7033 0
 -8671   7041 0
 -8551   7005 0
 -8379   6996 0
 -8209   6985 0
 -8103   7007 0
 -7948   6988 0
 -7855   7034 0
 -7766   6988 0
 -7660   6962 0
 -7567   6916 0
 -7469   6878 0
 -7348   6832 0
 -7253   6761 0
 -7157   6665 0
 -7054   6681 0
 -6943   6649 0
 -7105   6607 0
 -7202   6666 0
 -7336   6662 0
 -7434   6617 0
 -7560   6529 0
 -7708   6543 0
 -7815   6477 0
 -7696   6425 0
 -7582   6445 0
 -7469   6447 0
 -7346   6459 0
 -7254   6392 0
 -7151   6364 0
 -7068   6289 0
 -6947   6267 0
 -6798   6220 0
 -6683   6200 0
 -6756   6298 0
 -6882   6364 0
 -6781   6363 0
 -6678   6315 0
 -6562   6291 0
 -6467   6339 0
 -6531   6436 0
 -6656   6491 0
 -6768   6559 0
 -6699   6655 0
 -6582   6624 0
 -6467   6623 0
 -6415   6516 0
 -6298   6566 0
 -6187   6635 0
 -6279   6677 0
 -6445   6710 0
 -6538   6777 0
 -6653   6801 0
 -6711   6831 0

 14111   -919 1
 14138   -916 0
 14167   -921 0
 14196   -919 0
 14306   -909 0
 14228   -823 0
 14353   -821 0
 14455   -759 0
 14566   -793 0
 14645   -865 0
 14716   -948 0
 14808  -1011 0
 14923  -1026 0
 15028  -1067 0
 14992   -972 0
 14894   -905 0
 14812   -810 0
 14721   -742 0
 14784   -643 0
 14693   -586 0
 14583   -545 0
 14541   -446 0
 14448   -384 0
 14343   -341 0
 14231   -311 0
 14126   -265 0
 14017   -236 0
 13908   -201 0
 13802   -156 0
 13703   -212 0
 13612   -265 0
 13530   -336 0
 13462   -256 0
 13419   -154 0
 13345    -72 0
 13237    -36 0
 13131    -83 0
 13197   -184 0
 13295   -226 0
 13206   -278 0
 13286   -345 0
 13379   -308 0
 13450   -396 0
 13542   -444 0
 13652   -476 0
 13759   -517 0
 13833   -602 0
 13906   -690 0
 13890   -814 0
 14000   -801 0
 14067   -885 0
 14111   -919 0

 11767    431 1
 11799    426 0
 11829    433 0
 11853    448 0
 11926    528 0
 11834    580 0
 11741    661 0
 11639    640 0
 11567    555 0
 11473    487 0
 11389    421 0
 11313    333 0
 11210    291 0
 11125    214 0
 11025    172 0
 10915    159 0
 10893     48 0
 10919    -52 0
 11005   -139 0
 11020   -249 0
 11116   -300 0
 11225   -332 0
 11335   -321 0
 11447   -344 0
 11555   -378 0
 11626   -288 0
 11637   -174 0
 11727    -88 0
 11750      9 0
 11799    103 0
 11785    203 0
 11759    300 0
 11746    414 0
 11767    431 0

 -7617   8258 1
 -7710   8282 0
 -7876   8290 0
 -7955   8276 0
 -8138   8266 0
 -7977   8194 0
 -8233   8214 0
 -8477   8243 0
 -8585   8230 0
 -8681   8200 0
 -8857   8202 0
 -9065   8174 0
 -8849   8151 0
 -8974   8118 0
 -8858   8105 0
 -8589   8119 0
 -8874   8093 0
 -8674   8081 0
 -8559   8103 0
 -8330   8113 0
 -8546   8097 0
 -8649   8071 0
 -8374   8068 0
 -8261   8069 0
 -8121   8064 0
 -7978   8082 0
 -7759   8135 0
 -7871   8099 0
 -7731   8089 0
 -7928   8070 0
 -8065   8047 0
 -8249   8036 0
 -8058   7969 0
 -8192   7975 0
 -8386   8022 0
 -8553   8030 0
 -8656   8018 0
 -8553   7968 0
 -8407   7912 0
 -8203   7894 0
 -8373   7881 0
 -8519   7888 0
 -8662   7876 0
 -8491   7841 0
 -8373   7756 0
 -8275   7793 0
 -8417   7736 0
 -8538   7742 0
 -8678   7786 0
 -8805   7779 0
 -8707   7728 0
 -8853   7706 0
 -8666   7648 0
 -8474   7642 0
 -8367   7657 0
 -8246   7659 0
 -8086   7624 0
 -7882   7647 0
 -7787   7689 0
 -7919   7711 0
 -8022   7718 0
 -8160   7723 0
 -8010   7730 0
 -7878   7734 0
 -7656   7796 0
 -7556   7826 0
 -7787   7889 0
 -7642   7918 0
 -7490   7909 0
 -7724   7930 0
 -7524   7943 0
